"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","STTR","","Slaty-tailed Trogon","Trogon massena","TROMAS","",TRUE
"","BTAT","*","Black-tailed Trogon","Trogon melanurus","TROMER","*",TRUE
"","BHTR","","Black-headed Trogon","Trogon melanocephalus","TROMEC","*",TRUE
"","CITR","","Citreoline Trogon","Trogon citreolus","TROCIT","",TRUE
"","WTAT","*","White-tailed Trogon","Trogon chionurus","TROCHI","",TRUE
"","BATR","","Baird's Trogon","Trogon bairdii","TROBAI","",TRUE
"","GATR","","Gartered Trogon","Trogon caligatus","TROCAL","",TRUE
"","BTHT","*","Black-throated Trogon","Trogon rufus","TRORUS","*",TRUE
"","ELTR","","Elegant Trogon","Trogon elegans","TROELE","",TRUE
"","MOTR","","Mountain Trogon","Trogon mexicanus","TROMEX","",TRUE
"","COTR","","Collared Trogon","Trogon collaris","TROCOL","",TRUE
"","EAQU","","Eared Quetzal","Euptilotis neoxenus","EUPNEO","",TRUE
"","GHQU","","Golden-headed Quetzal","Pharomachrus auriceps","PHAAUC","*",TRUE
"","REQU","","Resplendent Quetzal","Pharomachrus mocinno","PHAMOC","",TRUE
"","TOMO","","Tody Motmot","Hylomanes momotula","HYLMOM","",TRUE
"","BTMO","","Blue-throated Motmot","Aspatha gularis","ASPGUL","",TRUE
"","RCMO","","Russet-crowned Motmot","Momotus mexicanus","MOMMEX","",TRUE
"","BCMO","","Blue-capped Motmot","Momotus coeruliceps","MOMCOE","",TRUE
"","LEMO","","Lesson's Motmot","Momotus lessonii","MOMLES","",TRUE
"","WHMO","","Whooping Motmot","Momotus subrufescens","MOMSUB","",TRUE
"","RMOT","*","Rufous Motmot","Baryphthengus martii","BARMAR","",TRUE
"","KBMO","","Keel-billed Motmot","Electron carinatum","ELECAR","",TRUE
"","BBMO","","Broad-billed Motmot","Electron platyrhynchum","ELEPLA","",TRUE
"","TBMO","","Turquoise-browed Motmot","Eumomota superciliosa","EUMSUP","",TRUE
"","RIKI","","Ringed Kingfisher","Megaceryle torquata","MEGTOR","",TRUE
"","BEKI","","Belted Kingfisher","Megaceryle alcyon","MEGALC","",TRUE
"","AMKI","","Amazon Kingfisher","Chloroceryle amazona","CHLAMA","",TRUE
"","APKI","","American Pygmy Kingfisher","Chloroceryle aenea","CHLAEN","",TRUE
"","GKIN","*","Green Kingfisher","Chloroceryle americana","CHLAME","",TRUE
"","GARK","","Green-and-rufous Kingfisher","Chloroceryle inda","CHLIND","",TRUE
"","BAPU","","Barred Puffbird","Nystalus radiatus","NYSRAD","",TRUE
"","WNPU","","White-necked Puffbird","Notharchus hyperrhynchus","NOTHYP","",TRUE
"","BBPU","","Black-breasted Puffbird","Notharchus pectoralis","NOTPEC","",TRUE
"","PIPU","","Pied Puffbird","Notharchus tectus","NOTTEC","",TRUE
"","WWPU","","White-whiskered Puffbird","Malacoptila panamensis","MALPAN","",TRUE
"","LAMO","","Lanceolated Monklet","Micromonacha lanceolata","MICLAN","",TRUE
"","GCNU","","Gray-cheeked Nunlet","Nonnula frontalis","NONFRO","",TRUE
"","WFNU","","White-fronted Nunbird","Monasa morphoeus","MONMOR","",TRUE
"","DBJA","","Dusky-backed Jacamar","Brachygalba salmoni","BRASAL","",TRUE
"","RTJA","","Rufous-tailed Jacamar","Galbula ruficauda","GALRUF","",TRUE
"","GREJ","*","Great Jacamar","Jacamerops aureus","JACAUR","",TRUE
"","SCBA","","Spot-crowned Barbet","Capito maculicoronatus","CAPMAC","",TRUE
"","RHBA","","Red-headed Barbet","Eubucco bourcierii","EUBBOU","",TRUE
"","PBBA","","Prong-billed Barbet","Semnornis frantzii","SEMFRA","",TRUE
"","NOET","","Northern Emerald-Toucanet","Aulacorhynchus prasinus","AULPRA","",TRUE
"","COAR","","Collared Aracari","Pteroglossus torquatus","PTETOR","",TRUE
"","FBAR","","Fiery-billed Aracari","Pteroglossus frantzii","PTEFRA","",TRUE
"","YETO","","Yellow-eared Toucanet","Selenidera spectabilis","SELSPT","*",TRUE
"","KBTO","","Keel-billed Toucan","Ramphastos sulfuratus","RAMSUL","",TRUE
